File,Electrostatic Energy (kcal/mol)
A24-1-unCP-OHH-NHHH-Disp8-EFP.log,-11.1806832113467
A24-10-unCP-CCHHHH-HOH-Disp8-EFP.log,-3.7120540251019
A24-13-unCP-CCHHHH-NHHH-Disp8-EFP.log,-1.6486508816496002
A24-14-unCP-HHHHCC-HHHHCC-Disp8-EFP.log,-0.37725056693750003
A24-15-unCP-CCHHHH-HCHHH-Disp8-EFP.log,-0.3816808432284
A24-16-unCP-CHHHH-BHHH-Disp8-EFP.log,-0.9565721468131001
A24-17-unCP-CHHHH-CHHCHHHH-Disp8-EFP.log,-0.1635457253921
A24-18-unCP-CHHHH-CCHHHHHH-Disp8-EFP.log,-0.1346006177491
A24-19-unCP-CHHHH-CHHHH-Disp8-EFP.log,-0.1121437649134
A24-2-unCP-OHH-OHH-Disp8-EFP.log,-7.6770707333018
A24-23-unCP-HHHHCC-HHHHCC-Disp8-EFP.log,0.7418964233429
A24-5-unCP-NHHH-NHHH-Disp8-EFP.log,-4.1548467775732
A24-7-unCP-NHHH-HCHHH-Disp8-EFP.log,-0.8296570710433
A24-8-unCP-CHHHH-OHH-Disp8-EFP.log,-0.5320485031151
A24-9-unCP-COHH-COHH-Disp8-EFP.log,-6.0082632585578
