File,Electrostatic Energy (kcal/mol)
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.9580998541479002
ACHC-AC-3.4_0.4____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.4994232434398
ACHC-AC-3.4_0.8____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.2967805698027
ACHC-AC-3.4_1.2____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.9639731762118
ACHC-AC-3.4_2.0____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,1.4530520592884
ACHC-AC-3.4__0.4___-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.9267008098095
ACHC-AC-3.4__0.8___-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-2.7585240419208
ACHC-AC-3.4__1.2___-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-3.1903433562564
ACHC-AC-3.4__2.0___-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-2.3737727971554
ACHC-AC-3.4___120__-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.7471296968245
ACHC-AC-3.4___150__-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-2.1614447103559997
ACHC-AC-3.4___180__-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.4429789971425
ACHC-AC-3.4___30__-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.2315594178733
ACHC-AC-3.4___60__-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.8038530852016
ACHC-AC-3.4___90__-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.1518814365217
ACHC-AC-3.4__n0.4___-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.45944037798860005
ACHC-AC-3.4__n0.8___-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.0864012749537
ACHC-AC-3.4__n1.2___-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.7256172711104
ACHC-AC-3.4_n0.4____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.2404584106802001
ACHC-AC-3.4_n1.2____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.6899846745525999
ACHC-AC-3.4_n1.6____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.6387517649985
ACHC-AC-3.6____4_-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.4856569509978
ACHC-AC-3.6_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.5943450865991
ACHC-AC-3.6_____12-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,2.2816738032326
ACHC-AC-3.6_____4-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.4702492832645
ACHC-AC-3.6_____n12-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.0623918760245001
ACHC-AC-3.6_____n16-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.3406113571162
ACHC-AC-3.6_____n20-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.7450053278559001
ACHC-AC-3.6_____n4-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.7193714857807001
ACHC-AC-3.6_____n8-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.8665407950453
ACHC-AC-3.6____n12_-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-1.5849799279538
ACHC-AC-3.6____n20_-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-3.1078830888263
ACHC-AC-3.8_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.2960421172115
ACHC-AC-4.0_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,-0.11274611080250001
