File,|SIJ|,RIJ,Coul,SAPT_GT
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001280528,10.523857,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000325053,9.330731152,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001000342,7.253338958,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000110998,8.952077485,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.003203471,6.420624675,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000586204,7.273904573,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000211583,8.463789211,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000169548,8.259157772,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000729794,8.318221039,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000349987,8.929599051,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000319394,10.2093552,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.004540212,6.567691571,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.003872014,7.564648097,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.011565436,7.022474088,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000126066,10.86788256,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001726779,8.905929693,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001109851,9.980436541,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000461788,9.625374724,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000366377,11.15820431,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.002325236,9.0160056,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.013420424,5.95967635,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000964764,9.463586299,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000496463,6.323542432,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,3.20E-05,8.385860349,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001018866,7.277079786,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,3.55E-05,8.962139471,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.003386741,6.282502391,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.002731995,6.264855606,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,7.54E-05,9.532770255,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000144816,8.378386169,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001419595,6.18012719,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000476562,6.397628189,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000916865,7.069732755,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.002268314,8.352909991,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.002626967,7.694775298,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000247795,10.05095451,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.021394592,5.656319958,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001176176,8.875496119,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.003595259,6.874876387,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000487669,9.722697142,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.006569179,6.950713242,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.001970359,6.765732518,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.014348118,6.664371556,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.00036139,11.5664596,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.00064498,8.794212879,-1.958099854,-5.5807
ACHC-AC-3.2_____-unCP-NCNCCCNCNHNHHHH-NCNCCCHONHHHH-Disp8-EFP.log,0.000523623,7.074142733,-1.958099854,-5.5807
