File,Electrostatic Energy (kcal/mol),
HBC1-FaNNFaNN-10.0-CHNHNHH-CHNHNHH-Disp8-EFP.log,-0.104743238,-0.1028
HBC1-FaNNFaNN-3.7-CHNHNHH-CHNHNHH-Disp8-EFP.log,-53.16956749,-55.1763
HBC1-FaNNFaNN-3.9-CHNHNHH-CHNHNHH-Disp8-EFP.log,-41.09086901,-43.233
HBC1-FaONFaNN-10.0-CHONHH-CHNHNHH-Disp8-EFP.log,-0.246094283,-0.2271
HBC1-FaONFaNN-3.7-CHONHH-CHNHNHH-Disp8-EFP.log,-45.93759397,-53.787
HBC1-FaONFaNN-3.8-CHONHH-CHNHNHH-Disp8-EFP.log,-40.66830564,-45.7778
HBC1-FaONFaNN-4.0-CHONHH-CHNHNHH-Disp8-EFP.log,-30.78779334,-32.7947
HBC1-FaONFaNN-4.1-CHONHH-CHNHNHH-Disp8-EFP.log,-26.49486189,-27.5912
HBC1-FaONFaNN-4.2-CHONHH-CHNHNHH-Disp8-EFP.log,-22.73725536,-23.1754
HBC1-FaONFaNN-4.3-CHONHH-CHNHNHH-Disp8-EFP.log,-19.51760401,-20.2094
HBC1-FaONFaNN-4.6-CHONHH-CHNHNHH-Disp8-EFP.log,-12.58670805,-12.5946
HBC1-FaONFaNN-4.8-CHONHH-CHNHNHH-Disp8-EFP.log,-9.617808417,-9.4116
HBC1-FaONFaNN-5.0-CHONHH-CHNHNHH-Disp8-EFP.log,-7.491189264,-7.1953
HBC1-FaONFaNN-5.4-CHONHH-CHNHNHH-Disp8-EFP.log,-4.785917456,-4.4857
HBC1-FaONFaNN-5.8-CHONHH-CHNHNHH-Disp8-EFP.log,-3.237315793,-2.9981
HBC1-FaONFaNN-6.4-CHONHH-CHNHNHH-Disp8-EFP.log,-1.946616879,-1.7882
HBC1-FaONFaNN-7.0-CHONHH-CHNHNHH-Disp8-EFP.log,-1.251662709,-1.1465
HBC1-FaONFaNN-8.0-CHONHH-CHNHNHH-Disp8-EFP.log,-0.666337437,-0.6108
HBC1-FaONFaON-10.0-CHONHH-CHONHH-Disp8-EFP.log,-0.372103236,-0.334
HBC1-FaONFaON-3.4-CHONHH-CHONHH-Disp8-EFP.log,-44.92966398,-52.1042
HBC1-FaONFaON-3.5-CHONHH-CHONHH-Disp8-EFP.log,-44.61681648,-50.2892
HBC1-FaONFaON-3.6-CHONHH-CHONHH-Disp8-EFP.log,-41.95210139,-46.4649
HBC1-FaONFaON-3.7-CHONHH-CHONHH-Disp8-EFP.log,-38.13491614,-41.7727
HBC1-FaONFaON-3.8-CHONHH-CHONHH-Disp8-EFP.log,-33.90317454,-36.7899
HBC1-FaONFaON-3.9-CHONHH-CHONHH-Disp8-EFP.log,-29.69677432,-31.8843
HBC1-FaONFaON-4.0-CHONHH-CHONHH-Disp8-EFP.log,-25.76473817,-27.3138
HBC1-FaONFaON-4.1-CHONHH-CHONHH-Disp8-EFP.log,-22.24728008,-23.2359
HBC1-FaONFaON-4.2-CHONHH-CHONHH-Disp8-EFP.log,-19.20302364,-19.7235
HBC1-FaONFaON-4.3-CHONHH-CHONHH-Disp8-EFP.log,-16.61940148,-16.7741
HBC1-FaONFaON-4.4-CHONHH-CHONHH-Disp8-EFP.log,-14.45209966,-14.337
HBC1-FaONFaON-4.6-CHONHH-CHONHH-Disp8-EFP.log,-11.12250547,-10.6975
HBC1-FaONFaON-4.8-CHONHH-CHONHH-Disp8-EFP.log,-8.759966654,-8.2231
HBC1-FaONFaON-5.0-CHONHH-CHONHH-Disp8-EFP.log,-7.037740154,-6.4954
HBC1-FaONFaON-5.4-CHONHH-CHONHH-Disp8-EFP.log,-4.775630952,-4.3289
HBC1-FaONFaON-5.8-CHONHH-CHONHH-Disp8-EFP.log,-3.410962155,-3.0684
HBC1-FaONFaON-6.4-CHONHH-CHONHH-Disp8-EFP.log,-2.201144883,-1.9699
HBC1-FaONFaON-7.0-CHONHH-CHONHH-Disp8-EFP.log,-1.505069418,-1.3449
HBC1-FaONFaON-8.0-CHONHH-CHONHH-Disp8-EFP.log,-0.8753738,-0.7826
