File,Electrostatic Energy (kcal/mol),
JSCH-10-unCP-OCNCCCNOHHHH-OCNCCCNOHHHH-Disp8-EFP.log,-20.92765563,-23.3028
JSCH-100-unCP-CNCCCNONHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,3.926948749,2.1173
JSCH-101-unCP-NCNCNCCNCNHHHHH-NCNCNCCNCNHHHHH-Disp8-EFP.log,0.183772035,-3.7064
JSCH-102-unCP-OCNCNCCOCHHHHHH-OCNCNCCOCHHHHHH-Disp8-EFP.log,2.2869478281249003,-0.6961
JSCH-103-unCP-CNCCCNONHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,-6.382268412,-9.1406
JSCH-104-unCP-CNCCCNONHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,-1.976319515,-5.3141
JSCH-106-unCP-OCNCNCCOCHHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,0.506538442,-1.838
JSCH-108-unCP-OCNCNCCOCHHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,-1.035200782,-2.7416
JSCH-109-unCP-OCNCNCCOCHHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,-0.004107046,-2.8248
JSCH-110-unCP-NCNCNCCNCNHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,0.48833729294039996,-2.6077
JSCH-111-unCP-OCNCNCCOCHHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,-2.521068487,-1.6873
JSCH-112-unCP-NCNCNCCNCNHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,-0.242166893,-2.5422
JSCH-113-unCP-NCNCNCCNCNHHHHH-OCNCNCCOCHHHHHH-Disp8-EFP.log,-4.180287624,-3.2807
JSCH-114-unCP-NCNCNCCNCNHHHHH-OCNCNCCOCHHHHHH-Disp8-EFP.log,-3.284812954,-5.8021
JSCH-121-unCP-HNCHCHCNHHNCO-HNCHNCCONHCNHHNC-Disp8-EFP.log,-5.644771705,-6.6603
JSCH-124-unCP-HNCHNCCONHCNHHNC-HNCHCHCNHHNCO-Disp8-EFP.log,-6.547968626,-8.604
JSCH-14-unCP-NCNCCNCNCNNHHHHHH-CNCCCNCOOHHHHHH-Disp8-EFP.log,-33.35267878,-35.367
JSCH-15-unCP-NCHNCCNHHNCHNCH-CCHCCHHHCFCHCFH-Disp8-EFP.log,-4.099115884,-8.197
JSCH-18-unCP-CNCCCNONHHHHH-NCNCNCCNCNHHHHH-Disp8-EFP.log,-26.36245222,-28.5689
JSCH-19-unCP-OCNCNCCNCNNHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,-26.07010274,-28.6646
JSCH-23-unCP-NCNCCCNCNHHHNHH-CNCCCNNCNNHHHOHH-Disp8-EFP.log,-26.65956951,-28.6136
JSCH-25-unCP-CNCCCNNNCNHHOHHH-CNCNCCNCNHHHNHH-Disp8-EFP.log,-17.84836713,-20.9704
JSCH-26-unCP-OCNCNCCNCNNHHHHH-NCNCNCCNCNHHHHH-Disp8-EFP.log,-27.07154248,-29.983
JSCH-30-unCP-NCNCNCCNCNHHHHH-NCNCNCCNCNHHHHH-Disp8-EFP.log,-16.27520439,-19.2861
JSCH-39-unCP-OCNCNCCNCNNHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,-1.859715918,-2.1524
JSCH-40-unCP-CNCCCNONHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,-3.906196525,-4.2503
JSCH-41-unCP-NCNCNCCNCNHHHHH-OCNCNCCOCHHHHHH-Disp8-EFP.log,-1.62974071,-2.1493
JSCH-43-unCP-CNCCCNONHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,4.438371785,4.6233
JSCH-44-unCP-OCNCNCCNCNNHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,6.3286913795237005,6.3063
JSCH-45-unCP-OCNCNCCNCNNHHHHH-OCNCNCCNCNNHHHHH-Disp8-EFP.log,2.4574374426091996,-1.1455
JSCH-46-unCP-CNCCCNONHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,2.396875733,2.502
JSCH-52-unCP-OCNCNCCOCHHHHHH-CNCCCNONHHHHH-Disp8-EFP.log,-0.582737739,-0.6071
JSCH-55-unCP-OCNCNCCOCHHHHHH-OCNCNCCOCHHHHHH-Disp8-EFP.log,2.172698206,2.0123
