File,Electrostatic Energy (kcal/mol),
NBC1-BzBz_PD32-0.2-CCCCCCHHHHHH-CCCCCCHHHHHH-Disp8-EFP.log,4.231712049,-6.8896
NBC1-BzMe-3.3-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,-1.146456935,-3.1257
NBC1-BzMe-3.7-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,-0.461813743,-1.0531
NBC1-MeMe-3.2-CHHHH-CHHHH-Disp8-EFP.log,-0.484601983,-1.0474
NBC1-MeMe-3.3-CHHHH-CHHHH-Disp8-EFP.log,-0.349181399,-0.7324
NBC1-MeMe-3.4-CHHHH-CHHHH-Disp8-EFP.log,-0.252681057,-0.5099
NBC1-MeMe-3.5-CHHHH-CHHHH-Disp8-EFP.log,-0.183780067,-0.3532
NBC1-MeMe-3.6-CHHHH-CHHHH-Disp8-EFP.log,-0.134452839,-0.2431
NBC1-MeMe-3.7-CHHHH-CHHHH-Disp8-EFP.log,-0.09901659,-0.1661
NBC1-MeMe-3.8-CHHHH-CHHHH-Disp8-EFP.log,-0.073450619,-0.1123
NBC1-MeMe-3.9-CHHHH-CHHHH-Disp8-EFP.log,-0.054911367,-0.0749
NBC1-MeMe-4.0-CHHHH-CHHHH-Disp8-EFP.log,-0.041387858,-0.049
NBC1-MeMe-4.1-CHHHH-CHHHH-Disp8-EFP.log,-0.031457089,-0.0312
NBC1-MeMe-4.2-CHHHH-CHHHH-Disp8-EFP.log,-0.024110904,-0.019
NBC1-MeMe-4.3-CHHHH-CHHHH-Disp8-EFP.log,-0.018633692,-0.0108
NBC1-MeMe-4.4-CHHHH-CHHHH-Disp8-EFP.log,-0.014516103,-0.0053
NBC1-MeMe-4.6-CHHHH-CHHHH-Disp8-EFP.log,-0.00900695,0.0007
NBC1-MeMe-4.8-CHHHH-CHHHH-Disp8-EFP.log,-0.005734868,0.003
NBC1-MeMe-5.0-CHHHH-CHHHH-Disp8-EFP.log,-0.003728345,0.0037
NBC1-MeMe-5.4-CHHHH-CHHHH-Disp8-EFP.log,-0.001644952,0.0032
NBC1-MeMe-5.8-CHHHH-CHHHH-Disp8-EFP.log,-0.000746108,0.0023
