File,|SIJ|,RIJ,,
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.014251135,6.192839098,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.031007257,4.573819169,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.004874987,5.918791502,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.014835692,5.174285359,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.031007256,4.57381917,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.15542962,3.186686041,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.031007156,4.573819243,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.156149234,3.55963962,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.004874987,5.918791502,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.031007156,4.573819243,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.014251153,6.19283937,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.014835682,5.174285425,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.014835692,5.174285357,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.156149235,3.559639615,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.014835683,5.174285423,-19.28329528,-27.4508
S22by7-1-0.7-unCP-NHHH-NHHH-Disp8-EFP.log,0.002452066,4.45815137,-19.28329528,-27.4508
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.00364442,6.838937994,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.020095229,5.498435135,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.003553739,7.077445762,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.010476853,6.039164492,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.020095229,5.498435135,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.067053264,4.128186205,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.020095179,5.498435186,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.077158021,4.465792238,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.003553739,7.077445762,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.020095179,5.498435186,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.003644406,6.838938094,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.010476856,6.039164707,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.010476853,6.039164492,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.077158021,4.465792238,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.010476856,6.039164707,-6.545619107,-8.4599
S22by7-1-0.9-unCP-NHHH-NHHH-Disp8-EFP.log,0.00706895,5.247160415,-6.545619107,-8.4599
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.000283605,8.429553133,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.007900583,6.896440931,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.001902563,8.230322148,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.004413952,7.374115977,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.007900583,6.896440931,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.016731636,5.543555666,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.007900566,6.896440971,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.025209492,5.848962085,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.001902563,8.230322148,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.007900566,6.896440971,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.0002836,8.429553319,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.004413949,7.374116015,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.004413952,7.374115977,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.025209492,5.848962085,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.004413949,7.374116015,-2.126096501,-2.3971
S22by7-1-1.2-unCP-NHHH-NHHH-Disp8-EFP.log,0.00524004,6.509817098,-2.126096501,-2.3971
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.003295607,8.402454328,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.004393307,6.144176249,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.00137483,7.336527759,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.000489487,7.476157814,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.003848212,6.959380666,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.028489731,5.171762869,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.000283033,6.655287082,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.007709001,7.389558711,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.000489493,7.476157627,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.004393327,6.144175919,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.003295617,8.402453682,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.001374836,7.336527146,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.003634379,7.043559614,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.004322005,6.144193429,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.00261106,8.147900264,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.002154582,8.019968345,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.004819176,7.056112601,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.028469803,5.171817587,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.007357594,7.343629612,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.00042408,6.604252932,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.000283014,6.655285899,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.028489871,5.171761887,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.007709042,7.389557926,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.003848213,6.959379083,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.00137484,7.336527282,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.004393297,6.144175573,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.000489496,7.476157774,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.003295621,8.402453325,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.007357551,7.343630459,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.02846968,5.171818142,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.00042406,6.60425398,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.004819165,7.056113046,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.002154589,8.019969391,-1.392220647,-4.1143
S22by7-10-0.8-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,0.00432206,6.144194034,-1.392220647,-4.1143
