File,Electrostatic Energy (kcal/mol),
S66-1-unCP-OHH-OHH-Disp8-EFP.log,-7.587579165,-8.5686
S66-10-unCP-NHHCHHH-NHHCHHH-Disp8-EFP.log,-4.90456121,-5.9704
S66-11-unCP-NHHCHHH-CHHHCONHCHHH-Disp8-EFP.log,-5.770487611,-7.3339
S66-12-unCP-NHHCHHH-OHH-Disp8-EFP.log,-12.1003663,-12.9352
S66-13-unCP-CHHHCONHCHHH-OHCHHH-Disp8-EFP.log,-6.909714701,-8.5034
S66-14-unCP-CHHHCONHCHHH-NHHCHHH-Disp8-EFP.log,-9.933170972,-11.1865
S66-15-unCP-CHHHCONHCHHH-CHHHCONHCHHH-Disp8-EFP.log,-10.06136315,-11.7426
S66-16-unCP-CHHHCONHCHHH-OHH-Disp8-EFP.log,-6.243997557,-7.3711
S66-17-unCP-NHCOCHCHNHCO-NHCOCHCHNHCO-Disp8-EFP.log,-25.15184015,-27.4858
S66-18-unCP-OHH-NCHCHCHCHCH-Disp8-EFP.log,-10.94151688,-11.5744
S66-19-unCP-OHCHHH-NCHCHCHCHCH-Disp8-EFP.log,-11.46215137,-12.1167
S66-2-unCP-OHH-OHCHHH-Disp8-EFP.log,-8.351282342,-9.5174
S66-20-unCP-COOHCHHH-COOHCHHH-Disp8-EFP.log,-31.42750859,-33.623
S66-23-unCP-CONHHCHHH-NHCOCHCHNHCO-Disp8-EFP.log,-28.13542663,-30.53
S66-24-unCP-CHCHCHCHCHCH-CHCHCHCHCHCH-Disp8-EFP.log,1.518490204,-1.6743
S66-29-unCP-NCHCHCHCHCH-NHCOCHCHNHCO-Disp8-EFP.log,-3.502681317,-6.6191
S66-3-unCP-OHH-NHHCHHH-Disp8-EFP.log,-12.0828123,-12.719
S66-30-unCP-CHCHCHCHCHCH-CHHCHH-Disp8-EFP.log,1.1554005697446001,-0.8919
S66-31-unCP-NHCOCHCHNHCO-CHHCHH-Disp8-EFP.log,-1.829950092,-3.7879
S66-32-unCP-NHCOCHCHNHCO-CHCH-Disp8-EFP.log,-2.731776032,-4.676
S66-33-unCP-NCHCHCHCHCH-CHHCHH-Disp8-EFP.log,0.317558899,-1.7117
S66-34-unCP-CHHHCHHCHHCHHCHHH-CHHHCHHCHHCHHCHHH-Disp8-EFP.log,-0.424975827,-1.6489
S66-35-unCP-CHHHCHHCHHCHHCHHH-CCHHHCHHHCHHHCHHH-Disp8-EFP.log,-0.420167539,-1.1641
S66-36-unCP-CCHHHCHHHCHHHCHHH-CCHHHCHHHCHHHCHHH-Disp8-EFP.log,-0.387577796,-0.659
S66-37-unCP-CHHCHHCHHCHHCHH-CCHHHCHHHCHHHCHHH-Disp8-EFP.log,-0.395224558,-1.1438
S66-38-unCP-CHHCHHCHHCHHCHH-CHHCHHCHHCHHCHH-Disp8-EFP.log,-0.035709529,-1.3239
S66-4-unCP-OHH-CHHHCONHCHHH-Disp8-EFP.log,-11.89334393,-13.3765
S66-40-unCP-CHCHCHCHCHCH-CCHHHCHHHCHHHCHHH-Disp8-EFP.log,-0.653365822,-1.8137
S66-41-unCP-NHCOCHCHNHCO-CHHHCHHCHHCHHCHHH-Disp8-EFP.log,-0.983679218,-2.4676
S66-42-unCP-NHCOCHCHNHCO-CHHCHHCHHCHHCHH-Disp8-EFP.log,0.242880559,-1.99
S66-44-unCP-CHHCHH-CHHHCHHCHHCHHCHHH-Disp8-EFP.log,-0.30423933,-1.0185
S66-45-unCP-CHCH-CHHHCHHCHHCHHCHHH-Disp8-EFP.log,-0.501227332,-1.2413
S66-47-unCP-CHCHCHCHCHCH-CHCHCHCHCHCH-Disp8-EFP.log,-1.353638444,-2.0247
S66-48-unCP-NCHCHCHCHCH-NCHCHCHCHCH-Disp8-EFP.log,-3.287029943,-3.0328
S66-5-unCP-OHCHHH-OHCHHH-Disp8-EFP.log,-8.226749729,-9.5473
S66-51-unCP-CHCH-CHCH-Disp8-EFP.log,-2.053867203,-2.1112
S66-59-unCP-CHCH-OHH-Disp8-EFP.log,-3.969503021,-4.4819
S66-6-unCP-OHCHHH-NHHCHHH-Disp8-EFP.log,-12.34439777,-13.2099
S66-60-unCP-CHCH-COOHCHHH-Disp8-EFP.log,-7.051986993,-7.7871
S66-66-unCP-NHHCHHH-NCHCHCHCHCH-Disp8-EFP.log,-3.331742093,-4.6223
S66-7-unCP-OHCHHH-CHHHCONHCHHH-Disp8-EFP.log,-11.64554985,-13.2244
S66-8-unCP-OHCHHH-OHH-Disp8-EFP.log,-7.39178161,-8.4541
S66-9-unCP-NHHCHHH-OHCHHH-Disp8-EFP.log,-3.480760985,-4.3504
