File,Electrostatic Energy (kcal/mol),SAPT
SSI-001LEU-154LEU-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.214967515,-0.6547
SSI-003THR-182GLU-1-unCP-CCHHHHHH-CCCOOHHHHH-Disp8-EFP.log,-0.925685401,-2.0044
SSI-003TYR-056ALA-1-unCP-CCCCCCCOHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-1.388269097,-1.5201
SSI-004LEU-031TYR-1-unCP-CCHHHHHH-CCCCCCCOHHHHHHHH-Disp8-EFP.log,-0.132049668,-0.4466
SSI-005LEU-010TRP-1-unCP-CCHHHHHH-CCCCCCCCCNHHHHHHHHH-Disp8-EFP.log,-0.302403866,-0.3947
SSI-005LEU-015LYS-1-unCP-CCHHHHHH-CCNHHHHHHHH-Disp8-EFP.log,-0.052793022,-0.2333
SSI-005PHE-163LEU-1-unCP-CCCCCCCCHHHHHHHHHH-CCHHHHHH-Disp8-EFP.log,0.23954484640370002,-1.0559
SSI-006GLU-010TYR-1-unCP-CCCHHHHHHHH-CCCCCCCOHHHHHHHH-Disp8-EFP.log,-1.221834885,-1.6413
SSI-007THR-031LYS-1-unCP-CCHHHHHH-CCCHHHHHHHH-Disp8-EFP.log,-0.32175229,-0.8802
SSI-009ARG-128ARG-2-unCP-CCNNNHHHHHHHH-CCNNNHHHHHHHH-Disp8-EFP.log,63.59094868,62.9064
SSI-009GLN-068ILE-1-unCP-CCONHHHHH-CCHHHHHH-Disp8-EFP.log,0.133936964,-0.1997
SSI-009VAL-025ILE-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.174131112,-0.6518
SSI-013LEU-065PHE-1-unCP-CCCCHHHHHHHHHH-CCCCCCCCHHHHHHHHHH-Disp8-EFP.log,0.374742539,-2.4582
SSI-015ILE-034LEU-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.115317517,-0.3663
SSI-016LEU-062LEU-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.277933651,-1.0507
SSI-019VAL-075LEU-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.134111035,-0.4185
SSI-022GLN-058GLU-1-unCP-CCCHHHHHHHH-CCOOHHH-Disp8-EFP.log,-0.746578958,-2.6965
SSI-023ASP-057ARG-1-unCP-CCOOHHH-CCNNNHHHHHHHH-Disp8-EFP.log,-110.7427357,-111.2343
SSI-023GLU-028LEU-1-unCP-CCCOOHHHHH-CCHHHHHH-Disp8-EFP.log,-0.132157913,-0.7716
SSI-024LEU-260ILE-1-unCP-CCHHHHHH-CCCHHHHHHHH-Disp8-EFP.log,-0.203769178,-0.5806
SSI-024LYS-069TYR-2-unCP-CCNHHHHHHHH-CCCCCCCOHHHHHHHH-Disp8-EFP.log,-4.484886391,-4.8112
SSI-025SER-075ASP-1-unCP-COHHHH-CCCOOHHHHH-Disp8-EFP.log,6.150027519050901,4.8094
SSI-029PHE-103HIE-1-unCP-CCCCCCCHHHHHHHH-CCCCNNHHHHHH-Disp8-EFP.log,1.324819654,-0.0762
SSI-031PHE-095TYR-1-unCP-CCCCCCCHHHHHHHH-CCCCCCCCOHHHHHHHHHH-Disp8-EFP.log,-0.897973223,-1.8194
SSI-034ASP-037PHE-1-unCP-CCCOOHHHHH-CCCCCCCHHHHHHHH-Disp8-EFP.log,0.234178452,-1.3782
SSI-034TYR-143MET-1-unCP-CCCCCCCOHHHHHHHH-CCSHHHHHH-Disp8-EFP.log,-2.622559533,-2.5593
SSI-035ALA-065LEU-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.213755293,-0.4843
SSI-036ARG-162GLN-1-unCP-CCNNNHHHHHHHH-CCONHHHHH-Disp8-EFP.log,-17.36983184,-17.0328
SSI-038PHE-046ARG-1-unCP-CCCCCCCHHHHHHHH-CCCHHHHHHHH-Disp8-EFP.log,-0.137367493,-1.0144
SSI-039THR-046THR-1-unCP-COHHHH-COHHHH-Disp8-EFP.log,-10.64084657,-12.4766
SSI-039THR-077LEU-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.172118063,-0.5336
SSI-041ILE-107PHE-2-unCP-CCHHHHHH-CCCCCCCCHHHHHHHHHH-Disp8-EFP.log,-0.22676481,-0.6679
SSI-043LEU-055THR-1-unCP-CCCHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.114702433,-0.5191
SSI-043TYR-048GLN-1-unCP-CCCCCCCOHHHHHHHH-CCONHHHHH-Disp8-EFP.log,1.165813015,-1.2847
SSI-048LYS-082ILE-1-unCP-CCCHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.123748101,-0.7272
SSI-049GLU-080ARG-1-unCP-CCOOHHH-CCNNNHHHHHHHH-Disp8-EFP.log,-86.69266591,86.0903
SSI-051VAL-104ILE-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.125680577,-0.4819
SSI-052ILE-056GLN-1-unCP-CCHHHHHH-CCONHHHHH-Disp8-EFP.log,-0.353743578,-0.7437
SSI-058TRP-180SER-1-unCP-CCCCCCCCCNHHHHHHHHH-CCOHHHHHH-Disp8-EFP.log,0.181609701,-0.6552
SSI-059PHE-118THR-1-unCP-CCCCCCCHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.774012459,-2.169
SSI-062ILE-105TYR-1-unCP-CCHHHHHH-CCCCCCCCOHHHHHHHHHH-Disp8-EFP.log,-0.108848276,-0.7012
SSI-065THR-069ILE-1-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.177691033,-0.568
SSI-068ARG-072THR-1-unCP-CCCNNNHHHHHHHHHH-COHHHH-Disp8-EFP.log,-11.36857553,-11.8505
SSI-068HIE-075LYS-1-unCP-CCCCCNNHHHHHHHH-CCNHHHHHHHH-Disp8-EFP.log,-6.464372066,-7.0985
SSI-070MET-075ILE-1-unCP-CCCSHHHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.525472774,-1.6158
SSI-075LEU-111LEU-2-unCP-CCHHHHHH-CCHHHHHH-Disp8-EFP.log,-0.264370797,-0.8409
SSI-079ASP-135ILE-1-unCP-CCOOHHH-CCHHHHHH-Disp8-EFP.log,0.058423347,-0.5972
SSI-083LEU-088TYR-2-unCP-CCHHHHHH-CCCCCCCOHHHHHHHH-Disp8-EFP.log,0.128189672,-0.7056
SSI-084TYR-089ASP-1-unCP-CCCCCCCOHHHHHHHH-CCCOOHHHHH-Disp8-EFP.log,3.115518116,1.5029
