File,Electrostatic Energy (kcal/mol)
S22-1-unCP-NHHH-NHHH-Disp8-EFP.log,-4.2671888980815
S22-10-unCP-CCCCCCHHHHHH-CHHHH-Disp8-EFP.log,-0.4022001992757
S22-11-unCP-CCCCCCHHHHHH-CCCCCCHHHHHH-Disp8-EFP.log,1.4372017467065001
S22-12-unCP-CCNCCNHHHH-CCNCCNHHHH-Disp8-EFP.log,-1.36637574714
S22-16-unCP-CCHHHH-CCHH-Disp8-EFP.log,-2.1343947426439
S22-17-unCP-CCCCCCHHHHHH-OHH-Disp8-EFP.log,-3.2160534040008
S22-18-unCP-CCCCCCHHHHHH-NHHH-Disp8-EFP.log,-1.7854025374998002
S22-19-unCP-CCCCCCHHHHHH-NCH-Disp8-EFP.log,-3.30963306816
S22-2-unCP-OHH-OHH-Disp8-EFP.log,-7.8790645626329
S22-20-unCP-CCCCCCHHHHHH-CCCCCCHHHHHH-Disp8-EFP.log,-1.4111219706593
S22-21-unCP-CCCCCCHHHHHH-HNCCCCCCCCHHHHHH-Disp8-EFP.log,-5.550232328534101
S22-22-unCP-COHCCCCCHHHHH-OCHCCCCCHHHHH-Disp8-EFP.log,-7.2638748193209
S22-3-unCP-COOHH-COOHH-Disp8-EFP.log,-31.3008741321513
S22-4-unCP-CONHHH-CONHHH-Disp8-EFP.log,-24.014114310604
S22-5-unCP-OCNCCCNOHHHH-OCNCCCNOHHHH-Disp8-EFP.log,-29.296553282832303
S22-6-unCP-ONCCCCCHHHHH-NCCCCCHHHHNHH-Disp8-EFP.log,-25.606865749270103
S22-8-unCP-CHHHH-CHHHH-Disp8-EFP.log,-0.0986722134487
S22-9-unCP-CCHHHH-CCHHHH-Disp8-EFP.log,-0.8345215208113
